address,category,date,dayofweek,descript,incidntnum,location,pddistrict,pdid,resolution,time,x,y
800 Block of CHESTNUT ST,LARCENY/THEFT,2016-09-29T00:00:00.000,Thursday,GRAND THEFT FROM LOCKED AUTO,166225217,"{u'type': u'Point', u'coordinates': [-122.417357825, 37.8032938546]}",CENTRAL,16622521706244,NONE,13:50,-122.41735782542534,37.8032938546353
MONTGOMERY ST / POST ST,VEHICLE THEFT,2017-01-21T00:00:00.000,Saturday,STOLEN AUTOMOBILE,170058131,"{u'type': u'Point', u'coordinates': [-122.402070243, 37.7887198688]}",CENTRAL,17005813107021,NONE,15:30,-122.40207024322743,37.78871986881325
900 Block of JONES ST,OTHER OFFENSES,2017-01-08T00:00:00.000,Sunday,MISCELLANEOUS INVESTIGATION,170021520,"{u'type': u'Point', u'coordinates': [-122.413892284, 37.7899965294]}",CENTRAL,17002152068020,NONE,18:30,-122.41389228411764,37.78999652936792
MONTGOMERY ST / GREEN ST,VANDALISM,2016-12-01T00:00:00.000,Thursday,"MALICIOUS MISCHIEF, VANDALISM",166282530,"{u'type': u'Point', u'coordinates': [-122.40424511, 37.8001036155]}",CENTRAL,16628253028150,NONE,12:01,-122.40424511047917,37.80010361554684
300 Block of POWELL ST,FORGERY/COUNTERFEITING,2017-02-02T00:00:00.000,Thursday,"COUNTERFEITING, POSSESSION COINS OR NOTES",170097866,"{u'type': u'Point', u'coordinates': [-122.408384276, 37.7878271137]}",CENTRAL,17009786609215,NONE,11:00,-122.40838427554218,37.78782711372249
700 Block of BROADWAY ST,NON-CRIMINAL,2017-01-08T00:00:00.000,Sunday,LOST PROPERTY,170023366,"{u'type': u'Point', u'coordinates': [-122.409981228, 37.7974004148]}",CENTRAL,17002336671000,NONE,17:00,-122.4099812277693,37.79740041484058
1100 Block of BUSH ST,ASSAULT,2017-01-02T00:00:00.000,Monday,ASSAULT,170005273,"{u'type': u'Point', u'coordinates': [-122.416221157, 37.7892672344]}",CENTRAL,17000527304104,"ARREST, BOOKED",18:20,-122.41622115650819,37.7892672343725
0 Block of DRUMM ST,LARCENY/THEFT,2017-01-27T00:00:00.000,Friday,PETTY THEFT SHOPLIFTING,170075527,"{u'type': u'Point', u'coordinates': [-122.396556426, 37.7941169058]}",CENTRAL,17007552706363,NONE,13:52,-122.39655642617309,37.79411690579413
1300 Block of LEAVENWORTH ST,SUSPICIOUS OCC,2017-03-05T00:00:00.000,Sunday,SUSPICIOUS OCCURRENCE,170182990,"{u'type': u'Point', u'coordinates': [-122.416135742, 37.7934700236]}",CENTRAL,17018299064070,NONE,09:32,-122.4161357418048,37.79347002356095
300 Block of POST ST,LARCENY/THEFT,2011-11-23T00:00:00.000,Wednesday,PETTY THEFT WITH PRIOR,110944578,"{u'type': u'Point', u'coordinates': [-122.407612885, 37.788448602]}",CENTRAL,11094457806365,"ARREST, BOOKED",16:50,-122.407612885387,37.7884486019705
0 Block of BATTERY ST,VANDALISM,2017-02-18T00:00:00.000,Saturday,"MALICIOUS MISCHIEF, VANDALISM",170141689,"{u'type': u'Point', u'coordinates': [-122.399736005, 37.7917834029]}",CENTRAL,17014168928150,NONE,18:00,-122.39973600480917,37.79178340294753
1200 Block of UNION ST,ROBBERY,2017-03-11T00:00:00.000,Saturday,"ROBBERY, BODILY FORCE",170200235,"{u'type': u'Point', u'coordinates': [-122.420510746, 37.798960589]}",CENTRAL,17020023503074,NONE,01:00,-122.42051074598254,37.79896058904682
