address,category,date,dayofweek,descript,incidntnum,location,pddistrict,pdid,resolution,time,x,y
0 Block of BARCELONA AV,NON-CRIMINAL,2016-02-08T00:00:00.000,Monday,FOUND PROPERTY,160115967,"{u'type': u'Point', u'coordinates': [-122.444497363, 37.7802723161]}",PARK,16011596772000,NONE,14:35,-122.44449736293906,37.78027231612155
900 Block of OAK ST,ASSAULT,2016-02-21T00:00:00.000,Sunday,INFLICT INJURY ON COHABITEE,160152527,"{u'type': u'Point', u'coordinates': [-122.434956691, 37.7734998621]}",PARK,16015252715040,"ARREST, BOOKED",04:24,-122.43495669108677,37.773499862122726
500 Block of DIVISADERO ST,NON-CRIMINAL,2015-06-06T00:00:00.000,Saturday,LOST PROPERTY,156136470,"{u'type': u'Point', u'coordinates': [-122.437822762, 37.7745216484]}",PARK,15613647071000,NONE,15:22,-122.43782276166,37.7745216483936
CASTRO ST / DUBOCE AV,LARCENY/THEFT,2015-05-19T00:00:00.000,Tuesday,GRAND THEFT FROM LOCKED AUTO,156120508,"{u'type': u'Point', u'coordinates': [-122.435797049, 37.7690578712]}",PARK,15612050806244,NONE,12:20,-122.435797048864,37.7690578711759
900 Block of COLE ST,LARCENY/THEFT,2015-09-08T00:00:00.000,Tuesday,PETTY THEFT OF PROPERTY,156222314,"{u'type': u'Point', u'coordinates': [-122.449930433, 37.7653155984]}",PARK,15622231406372,NONE,17:50,-122.44993043299,37.7653155983973
100 Block of BRODERICK ST,WARRANTS,2011-08-31T00:00:00.000,Wednesday,WARRANT ARREST,110698446,"{u'type': u'Point', u'coordinates': [-122.438874245, 37.771523661]}",PARK,11069844663010,"ARREST, BOOKED",08:00,-122.43887424471,37.7715236610043
FELL ST / MASONIC AV,WARRANTS,2016-01-21T00:00:00.000,Thursday,WARRANT ARREST,160057911,"{u'type': u'Point', u'coordinates': [-122.445904271, 37.7729953727]}",PARK,16005791163010,"ARREST, BOOKED",04:45,-122.44590427116928,37.772995372717354
1400 Block of 7TH AV,MISSING PERSON,2016-04-30T00:00:00.000,Saturday,MISSING ADULT,160353082,"{u'type': u'Point', u'coordinates': [-122.464044778, 37.7613161837]}",PARK,16035308274000,NONE,10:30,-122.46404477780406,37.761316183664064
1500 Block of FELL ST,ASSAULT,2016-02-07T00:00:00.000,Sunday,STALKING,160307368,"{u'type': u'Point', u'coordinates': [-122.443417413, 37.7733703354]}",PARK,16030736815201,NONE,09:00,-122.44341741324004,37.77337033536616
PAGE ST / DIVISADERO ST,VEHICLE THEFT,2016-04-10T00:00:00.000,Sunday,STOLEN AUTOMOBILE,160295484,"{u'type': u'Point', u'coordinates': [-122.43723559, 37.772204194]}",PARK,16029548407021,NONE,12:30,-122.43723558984122,37.77220419397187
EDDY ST / PIERCE ST,ASSAULT,2016-02-25T00:00:00.000,Thursday,THREATS AGAINST LIFE,160179032,"{u'type': u'Point', u'coordinates': [-122.435617128, 37.7810099521]}",PARK,16017903219057,NONE,00:01,-122.43561712805162,37.781009952138064
CARL ST / STANYAN ST,NON-CRIMINAL,2016-04-20T00:00:00.000,Wednesday,AIDED CASE,160325075,"{u'type': u'Point', u'coordinates': [-122.45275844, 37.7654433196]}",PARK,16032507551040,NONE,18:16,-122.45275843964968,37.76544331963184
OAK ST / STANYAN ST,NON-CRIMINAL,2016-05-15T00:00:00.000,Sunday,AIDED CASE,160396678,"{u'type': u'Point', u'coordinates': [-122.453981622, 37.7714278596]}",PARK,16039667851040,NONE,10:33,-122.45398162236509,37.771427859591306
2600 Block of GEARY BL,NON-CRIMINAL,2016-04-01T00:00:00.000,Friday,LOST PROPERTY,160271951,"{u'type': u'Point', u'coordinates': [-122.447617194, 37.7825841926]}",PARK,16027195171000,NONE,23:00,-122.44761719426465,37.78258419256784
0 Block of ENCANTO AV,TRESPASS,2016-04-16T00:00:00.000,Saturday,TRESPASSING,160312793,"{u'type': u'Point', u'coordinates': [-122.443514804, 37.7804956565]}",PARK,16031279327195,NONE,12:30,-122.44351480363075,37.78049565647626
4500 Block of 17TH ST,FRAUD,2016-01-12T00:00:00.000,Tuesday,"CREDIT CARD, THEFT OF",160223924,"{u'type': u'Point', u'coordinates': [-122.445851916, 37.7619032087]}",PARK,16022392409310,NONE,13:00,-122.44585191560681,37.76190320872528
200 Block of NOE ST,WARRANTS,2016-05-15T00:00:00.000,Sunday,WARRANT ARREST,160397814,"{u'type': u'Point', u'coordinates': [-122.433206041, 37.7646229857]}",PARK,16039781463010,"ARREST, BOOKED",15:44,-122.43320604083321,37.76462298570158
300 Block of WOODSIDE AV,MISSING PERSON,2016-05-27T00:00:00.000,Friday,MISSING JUVENILE,160433399,"{u'type': u'Point', u'coordinates': [-122.452716701, 37.7457451434]}",PARK,16043339974010,NONE,10:20,-122.45271670098712,37.745745143413465
1100 Block of SCOTT ST,LARCENY/THEFT,2016-10-15T00:00:00.000,Saturday,PETTY THEFT AUTO STRIP,160847251,"{u'type': u'Point', u'coordinates': [-122.437099428, 37.7803522157]}",PARK,16084725106231,NONE,17:00,-122.43709942832018,37.78035221568935
PANORAMA DR / TWINPEAKS BL,NON-CRIMINAL,2016-09-07T00:00:00.000,Wednesday,FOUND PROPERTY,160726116,"{u'type': u'Point', u'coordinates': [-122.449445374, 37.7466596251]}",PARK,16072611672000,NONE,10:00,-122.44944537444603,37.7466596250717
1400 Block of HAYES ST,NON-CRIMINAL,2016-07-04T00:00:00.000,Monday,FOUND PROPERTY,160549190,"{u'type': u'Point', u'coordinates': [-122.44031512, 37.774725065]}",PARK,16054919072000,NONE,14:00,-122.440315119729,37.77472506502107
1800 Block of WALLER ST,MISSING PERSON,2016-08-08T00:00:00.000,Monday,MISSING ADULT,160641893,"{u'type': u'Point', u'coordinates': [-122.454330105, 37.7681530111]}",PARK,16064189374000,NONE,18:00,-122.45433010539584,37.76815301111592
1200 Block of PAGE ST,RUNAWAY,2016-07-25T00:00:00.000,Monday,RUNAWAY,160598153,"{u'type': u'Point', u'coordinates': [-122.441393701, 37.7717273142]}",PARK,16059815329100,NONE,08:00,-122.44139370111428,37.77172731417711
1200 Block of OAK ST,OTHER OFFENSES,2016-06-11T00:00:00.000,Saturday,FALSE PERSONATION,160625897,"{u'type': u'Point', u'coordinates': [-122.439916735, 37.7727611871]}",PARK,16062589709027,NONE,09:00,-122.43991673512296,37.77276118706317
900 Block of 14TH ST,FRAUD,2013-10-10T00:00:00.000,Thursday,FRAUDULENT CREDIT APPLICATION,131071954,"{u'type': u'Point', u'coordinates': [-122.434532213, 37.767338727]}",PARK,13107195409340,NONE,10:00,-122.434532213457,37.7673387270118
1400 Block of 7TH AV,MISSING PERSON,2016-10-16T00:00:00.000,Sunday,MISSING ADULT,160844655,"{u'type': u'Point', u'coordinates': [-122.464044778, 37.7613161837]}",PARK,16084465574000,NONE,17:00,-122.46404477780406,37.761316183664064
TURK ST / BAKER ST,NON-CRIMINAL,2016-08-17T00:00:00.000,Wednesday,FOUND PROPERTY,160664663,"{u'type': u'Point', u'coordinates': [-122.442053306, 37.7792422156]}",PARK,16066466372000,NONE,14:05,-122.44205330612257,37.7792422155631
1900 Block of FELL ST,OTHER OFFENSES,2016-05-18T00:00:00.000,Wednesday,FALSE PERSONATION,160968142,"{u'type': u'Point', u'coordinates': [-122.449991766, 37.7725254862]}",PARK,16096814209027,NONE,10:00,-122.44999176584979,37.77252548618866
1800 Block of PAGE ST,ARSON,2016-12-05T00:00:00.000,Monday,ARSON,160988281,"{u'type': u'Point', u'coordinates': [-122.451236373, 37.770359802]}",PARK,16098828126030,NONE,16:14,-122.45123637314191,37.77035980198167
HAYES ST / PIERCE ST,LARCENY/THEFT,2016-10-21T00:00:00.000,Friday,GRAND THEFT OF PROPERTY,160859444,"{u'type': u'Point', u'coordinates': [-122.434485056, 37.7754165688]}",PARK,16085944406374,NONE,18:59,-122.43448505565894,37.77541656877041
500 Block of BUENAVISTAWEST AV,TRESPASS,2016-10-30T00:00:00.000,Sunday,TRESPASSING,160883158,"{u'type': u'Point', u'coordinates': [-122.443281739, 37.7664576549]}",PARK,16088315827195,"ARREST, BOOKED",02:00,-122.44328173923904,37.766457654885684
LYON ST / OAK ST,NON-CRIMINAL,2016-07-31T00:00:00.000,Sunday,LOST PROPERTY,166173440,"{u'type': u'Point', u'coordinates': [-122.442378911, 37.7725041276]}",PARK,16617344071000,NONE,02:00,-122.44237891087526,37.77250412762643
2600 Block of GEARY BL,TRESPASS,2016-11-26T00:00:00.000,Saturday,TRESPASSING,160962304,"{u'type': u'Point', u'coordinates': [-122.446612979, 37.7822458224]}",PARK,16096230427195,NONE,15:05,-122.44661297883863,37.782245822391744
BAKER ST / HAIGHT ST,VEHICLE THEFT,2005-08-22T00:00:00.000,Monday,STOLEN AUTOMOBILE,050945597,"{u'type': u'Point', u'coordinates': [-122.440359656, 37.7708480204]}",PARK,5094559707021,NONE,11:30,-122.440359655867,37.7708480203684
1400 Block of GROVE ST,MISSING PERSON,2016-10-30T00:00:00.000,Sunday,FOUND PERSON,160887683,"{u'type': u'Point', u'coordinates': [-122.440483107, 37.7755529017]}",PARK,16088768375000,NONE,15:00,-122.44048310699829,37.77555290168326
500 Block of CENTRAL AV,MISSING PERSON,2016-11-16T00:00:00.000,Wednesday,FOUND PERSON,160935232,"{u'type': u'Point', u'coordinates': [-122.444432208, 37.7746354224]}",PARK,16093523275000,NONE,17:30,-122.44443220795378,37.77463542236274
1100 Block of FULTON ST,ASSAULT,2016-10-31T00:00:00.000,Monday,BATTERY,160886237,"{u'type': u'Point', u'coordinates': [-122.435712398, 37.7772265479]}",PARK,16088623704134,NONE,09:05,-122.43571239783651,37.77722654794222
1400 Block of 7TH AV,MISSING PERSON,2016-11-17T00:00:00.000,Thursday,MISSING ADULT,160938866,"{u'type': u'Point', u'coordinates': [-122.464044778, 37.7613161837]}",PARK,16093886674000,NONE,12:00,-122.46404477780406,37.761316183664064
